Source,Target
504172,4836
504172,13815
504172,436
504172,769
504172,699
424694,369192
424694,397538
424694,152532
424694,10139
424694,1420
405774,198663
405774,131631
405774,294254
405774,185
405774,262500
369972,3558
369972,10734
369972,424
369972,13466
369972,10545
429197,508
429197,769
429197,640
429197,396371
429197,487558
375262,10139
375262,424694
375262,449176
375262,184352
375262,338189
450465,155
450465,1927
450465,141052
450465,1924
450465,1452
426426,141
426426,1949
426426,171274
426426,112160
426426,398173
446021,77
446021,1368
446021,13
446021,1369
446021,2832
470044,392044
470044,281957
470044,101299
470044,336843
470044,8966
484247,336843
484247,101299
484247,346364
484247,454983
484247,84892
332562,525
332562,25196
332562,429191
332562,254470
332562,458737
337167,281957
337167,867
337167,392044
337167,341174
337167,11027
407436,278927
407436,34584
407436,10140
407436,281957
407436,449176
438808,261023
438808,4982
438808,2034
438808,504172
438808,429203
398173,10781
398173,1696
398173,12521
398173,984
398173,5486
487558,451915
487558,769
487558,334543
487558,443009
487558,363676
447332,381283
447332,405774
447332,110415
447332,19908
447332,11472
569547,296
569547,62
569547,78
569547,264660
569547,335984
157336,568
157336,126889
157336,75612
157336,8077
157336,348
399360,281957
399360,290512
399360,309050
399360,275
399360,372343
458594,10781
458594,74997
458594,956
458594,398181
458594,345887
489999,300668
489999,338970
489999,309
489999,284276
489999,277685
451915,487558
451915,769
451915,334543
451915,443009
451915,363676
400535,4771
400535,1266
400535,562
400535,261023
400535,1701
263115,155
263115,272
263115,49521
263115,209112
263115,141052
155,272
155,49026
155,209112
155,44912
155,156022
210577,346364
210577,75780
210577,65754
210577,392044
210577,336843
446101,4421
446101,10035
446101,342737
446101,336804
446101,20815
1124,675
1124,1491
1124,44214
1124,75656
1124,291805
399055,9738
399055,150689
399055,381284
399055,440298
399055,36647
429203,75656
429203,339403
429203,359412
429203,949
429203,273481
8966,50619
8966,24021
8966,466282
8966,43923
8966,123553
334543,769
334543,487558
334543,424
334543,451915
334543,371638
455207,9880
455207,8966
455207,222935
455207,392044
455207,454983
315635,1924
315635,1452
315635,49521
315635,8536
315635,9531
361292,561
361292,396422
361292,439079
361292,44214
361292,259693
500475,4771
500475,8012
500475,17494
500475,398181
500475,38842
49026,155
49026,272
49026,209112
49026,382322
49026,263115
454227,769
454227,640
454227,396371
454227,487558
454227,389015
446807,65754
446807,336843
446807,281957
446807,15472
446807,33613
150540,812
150540,12092
150540,260513
150540,11360
150540,2300
316029,424694
316029,769
316029,640
316029,396371
316029,487558
244786,769
244786,74997
244786,398181
244786,281957
244786,23483
374720,228150
374720,324786
374720,369885
374720,676
374720,16869
350,65754
350,8966
350,10545
350,2503
350,9880
286217,568
286217,157336
286217,95
286217,101299
286217,369972
72190,336843
72190,294254
72190,82654
72190,74
72190,131631
449459,197
449459,627
449459,399402
449459,180863
449459,428399
466411,8966
466411,131631
466411,198663
466411,262500
466411,9991
194662,98566
194662,155
194662,272
194662,14
194662,263115
455980,460019
455980,9476
455980,4922
455980,390043
455980,353486
451925,817
451925,38
451925,398818
451925,122906
451925,449176
68718,272
68718,862
68718,400535
68718,438145
68718,281957
242582,9654
242582,218
242582,64690
242582,449443
242582,396371
440472,10098
440472,404245
474354,336843
474354,390051
474354,13655
474354,1645
474354,500006
119450,63
119450,61791
119450,76341
119450,157336
119450,180
395991,49017
395991,228150
395991,122
395991,707
395991,2924
398818,449176
398818,26371
398818,376867
398818,424694
398818,84892
313369,525
313369,10947
313369,10545
313369,2976
313369,705
537996,9394
537996,995
537996,872
537996,14128
537996,9086
16869,857
16869,424
16869,369885
16869,637
16869,2503
228150,369885
228150,1771
228150,374720
228150,857
228150,424
489931,75656
489931,269795
489931,37797
489931,5143
489931,912
329865,126889
329865,828
329865,384521
329865,157336
329865,348
272,98566
272,36647
272,297762
272,155
272,559
150689,809
150689,10882
150689,2312
150689,11224
150689,808
381284,487558
381284,369972
381284,50014
381284,769
381284,10734
205596,467952
205596,449176
205596,184352
205596,424
205596,423
459910,627
459910,2034
459910,253
459910,438808
459910,13815
68734,424694
68734,425336
68734,266856
68734,152532
68734,300671
472734,8966
472734,9880
472734,10545
472734,449176
472734,454983
391713,398818
391713,426613
391713,376867
391713,84892
391713,376660
168259,345887
168259,281957
168259,156022
168259,395834
168259,10483
106646,4771
106646,400535
106646,308266
106646,261023
106646,12143
481117,369192
481117,769
481117,396371
481117,168672
481117,339103
460071,396371
460071,332283
460071,769
460071,316029
460071,443009
359940,345887
359940,398181
359940,395834
359940,281957
359940,458737
254128,11123
254128,479475
254128,80278
254128,8656
254128,9654
264660,438590
264660,9738
264660,62
264660,2048
264660,82693
152601,604
152601,605
152601,500664
152601,335984
152601,603
412862,371608
412862,39874
412862,10781
412862,1696
412862,948
11130,400617
11130,3933
11130,521
11130,82695
11130,50546
396371,413362
396371,242
396371,640
396371,1538
396371,363676
216015,8966
216015,466282
216015,12689
216015,43923
216015,9813
395834,281957
395834,345887
395834,75780
395834,261023
395834,359412
61791,119450
61791,63
61791,76341
61791,6479
61791,563
392044,4176
392044,75780
392044,60670
392044,281957
392044,372343
307081,9991
307081,396371
307081,312221
307081,70
307081,22881
468362,10661
468362,691
468362,460868
468362,564
468362,85
470229,3597
470229,1949
470229,238636
470229,281957
470229,500664
388,228150
388,1771
388,275
388,637
388,16869
11324,392044
11324,336843
11324,75780
11324,181283
11324,101299
419831,1927
419831,408220
419831,155
419831,272
419831,49026
406997,1265
406997,73
406997,442062
406997,400928
406997,948
438145,281957
438145,345887
438145,311
438145,101
438145,68718
346672,12437
346672,24
346672,7131
346672,8966
346672,18239
520360,949
520360,500
520360,574
520360,339403
520360,747
476292,378064
476292,34433
476292,297762
476292,39101
476292,39108
381283,769
381283,398181
381283,447332
381283,442249
381283,475210
324786,616
324786,227306
324786,374720
324786,424
324786,676
395841,357096
395841,75780
395841,4771
395841,392044
395841,395834
372058,8392
372058,34433
372058,39101
372058,39108
372058,39107
82693,286565
82693,272693
82693,9880
82693,8966
82693,510
281338,101299
281338,262504
281338,262500
281338,131631
281338,336843
273481,345887
273481,979
273481,4771
273481,479
273481,956
449176,398818
449176,376867
449176,26280
449176,10229
449176,26371
7840,425
7840,49519
7840,950
7840,278154
7840,387592
44214,574
44214,1124
44214,949
44214,82693
44214,244786
448776,769
448776,10734
448776,107846
448776,5925
448776,278
384680,396373
384680,395834
384680,581
384680,8584
384680,281957
443009,389015
443009,363676
443009,487558
443009,324786
443009,451915
429351,281957
429351,193756
429351,8966
429351,222935
429351,449176
389015,396371
389015,443009
389015,769
389015,375262
389015,316029
453201,8966
453201,10545
453201,2503
453201,350
453201,2501
77338,489
77338,862
77338,19913
77338,68718
77338,72105
503346,9555
503346,8810
503346,602
503346,47933
503346,137113
395990,4771
395990,64689
395990,395841
395990,562
395990,1572
419743,449176
419743,184352
419743,26280
419743,258034
419743,382475
49047,157336
49047,2067
49047,62
49047,395992
49047,274870
6479,604
6479,605
6479,534
6479,87101
6479,198663
72570,1903
72570,2501
72570,458594
72570,346685
72570,77
470894,155
470894,9738
470894,272
470894,1924
470894,1452
440298,13
440298,24420
440298,272693
440298,1903
440298,1259
401469,388
401469,949
401469,339403
401469,531593
401469,298
295011,72190
295011,336843
295011,747
295011,19908
295011,170
24021,50619
24021,18239
24021,8966
24021,49017
24021,50620
399404,424
399404,746
399404,637
399404,369885
399404,324786
464502,74997
464502,458594
464502,281957
464502,10781
464502,357096
312221,9991
312221,307081
312221,319888
312221,22881
312221,9291
49017,36647
49017,228150
49017,400155
49017,12437
49017,7131
446354,460868
446354,891
446354,769
446354,316029
446354,443009
458737,359940
458737,458594
458737,324786
458737,332562
458737,9552
561362,9813
561362,370663
561362,281957
561362,258480
561362,634
273248,253412
273248,120
273248,44115
273248,9350
273248,978
82695,3933
82695,3131
82695,1894
82695,16563
82695,342473
62764,58595
62764,408
62764,290595
62764,60304
62764,32593
18239,24021
18239,50619
18239,36648
18239,50620
18239,49017
339103,769
339103,261023
339103,156022
339103,396371
339103,28110
315837,782
315837,65754
315837,406990
315837,1571
315837,605
1422,37645
1422,96
1422,1266
1422,4771
1422,10651
120467,311
120467,539
120467,97630
120467,340613
120467,132344
363676,2567
363676,87502
363676,568
363676,396371
363676,487558
296096,8966
296096,466282
296096,43923
296096,9880
296096,50619
283366,1452
283366,8536
283366,9738
283366,49521
283366,209112
1402,451915
1402,8916
1402,310307
1402,10139
1402,2539
425972,8810
425972,76341
425972,405774
425972,297762
425972,443463
295964,2062
295964,627
295964,6283
295964,399402
295964,212778
486947,11001
486947,6933
486947,21240
486947,123023
486947,1256
50620,24021
50620,18239
50620,49017
50620,50619
50620,36648
176147,370663
176147,258480
176147,10818
176147,426613
176147,52371
400579,433
400579,303991
400579,277216
400579,111
400579,425
400617,399057
400617,277216
400617,1367
400617,1597
400617,170
429417,416234
429417,2655
429417,110415
429417,452507
429417,91586
76203,8619
76203,339408
76203,19067
76203,407806
76203,468210
433498,769
433498,487558
433498,334543
433498,424
433498,451915
491584,8643
491584,263471
491584,407874
491584,123997
491584,268373
550958,370663
550958,258480
550958,10818
550958,426613
550958,273153
419478,627
419478,41630
419478,62211
419478,254470
419478,353616
652,10693
652,188207
652,57165
652,18823
652,10323
425336,769
425336,334543
425336,487558
425336,424
425336,424694
154400,324542
154400,949
154400,769
154400,156022
154400,241554
370663,513
370663,449176
370663,52371
370663,258480
370663,426613
2503,2501
2503,2502
2503,4771
2503,156022
2503,400535
8456,391757
8456,345887
8456,11713
8456,9913
8456,445954
222935,10229
222935,308369
222935,90369
222935,9880
222935,449176
376867,449176
376867,511785
376867,26280
376867,258480
376867,14
487670,141052
487670,49521
487670,1924
487670,1452
487670,8536
499963,281957
499963,392044
499963,4348
499963,101299
499963,336843
505192,20352
505192,10545
505192,12405
505192,37135
505192,150689
265208,309242
265208,32044
265208,8065
265208,524
265208,4478
38,1903
38,261470
38,19913
38,521
38,50544
4922,458594
4922,956
4922,510
4922,458737
4922,334541
122906,13
122906,433
122906,35
122906,118
122906,141
446791,345887
446791,4771
446791,74997
446791,769
446791,275
369885,228150
369885,289
369885,423
369885,676
369885,1771
13374,449176
13374,18126
13374,14069
13374,73
13374,489
340674,340613
340674,340666
340674,34584
340674,132344
340674,51828
414001,646
414001,657
414001,658
414001,699
414001,714
500919,984
500919,15069
500919,807
500919,75780
500919,96
17979,13188
17979,9479
17979,8871
17979,1585
17979,9279
290595,767
290595,808
290595,809
290595,58595
290595,37430
64690,341006
64690,769
64690,1991
64690,398175
64690,294963
395992,2067
395992,157336
395992,126889
395992,286217
395992,348
462919,64255
462919,621
462919,2976
462919,224141
462919,429417
2502,2501
2502,2503
2502,562
2502,769
2502,156022
64682,27066
64682,346685
64682,1259
64682,577
64682,8966
264644,562
264644,398181
264644,198663
264644,294254
264644,336843
398181,8012
398181,769
398181,281957
398181,169917
398181,4771
68724,604
68724,605
68724,2048
68724,335984
68724,603
401905,101299
401905,157350
401905,198663
401905,2048
401905,262500
254320,782
254320,22970
254320,119450
254320,406761
254320,101299
787,249070
787,1620
787,2501
787,682
787,1538
406990,75780
406990,782
406990,949
406990,2275
406990,4771
281957,395834
281957,294963
281957,398181
281957,379149
281957,185
334541,345920
334541,390051
334541,428449
334541,493922
334541,4922
241554,10651
241554,345887
241554,281957
241554,12150
241554,979
244761,275
244761,345887
244761,562
244761,311
244761,146233
112160,53932
112160,14
112160,449176
112160,17130
112160,86331
11036,1366
11036,1246
11036,7555
11036,11232
11036,688
339988,157353
339988,296
339988,62
339988,264660
339988,328387
399057,956
399057,146233
399057,345887
399057,458594
399057,37645
353326,340027
353326,205596
353326,334543
353326,769
353326,640
489929,812
489929,1949
489929,1538
489929,2034
489929,49013
4348,499963
4348,8966
4348,9880
4348,50619
4348,449176
278927,407436
278927,9325
278927,9502
278927,346648
278927,116149
86834,615
86834,310
86834,274855
86834,109414
86834,14161
124905,373571
124905,7191
124905,1682
124905,19545
124905,315011
465136,401905
465136,336843
465136,321612
465136,476926
465136,70160
318846,769
318846,640
318846,396371
318846,487558
318846,389015
220882,198663
220882,157350
220882,78
220882,336843
220882,101299
1495,38543
1495,26175
1495,10786
1495,39382
1495,285096
339692,4771
339692,345887
339692,2749
339692,979
339692,868
417261,157336
417261,194662
417261,489999
417261,307081
417261,425972
58595,290595
58595,408
58595,385448
